fecha_online,pais,conteo,conteo_MA,semana
7,Panamá,111.0,382.3333333333333,23 de febrero
8,Panamá,185.0,247.0,1 de marzo
9,Panamá,174.0,156.66666666666666,8 de marzo
10,Panamá,145.0,168.0,15 de marzo
11,Panamá,112.0,143.66666666666666,22 de marzo
12,Panamá,194.0,150.33333333333334,29 de marzo
13,Panamá,39.0,115.0,5 de abril
14,Panamá,70.0,101.0,12 de abril
15,Panamá,25.0,44.666666666666664,19 de abril
16,Panamá,53.0,49.333333333333336,26 de abril
17,Panamá,49.0,42.333333333333336,3 de mayo
18,Panamá,171.0,91.0,10 de mayo
19,Panamá,106.0,108.66666666666667,17 de mayo
20,Panamá,51.0,109.33333333333333,24 de mayo
21,Panamá,98.0,85.0,31 de mayo
22,Panamá,110.0,86.33333333333333,7 de junio
23,Panamá,74.0,94.0,14 de junio
24,Panamá,75.0,86.33333333333333,21 de junio
25,Panamá,68.0,72.33333333333333,28 de junio
26,Panamá,46.0,63.0,5 de julio
27,Panamá,138.0,84.0,12 de julio
28,Panamá,189.0,124.33333333333333,19 de julio
29,Panamá,86.0,137.66666666666666,26 de julio
30,Panamá,313.0,196.0,2 de agosto
31,Panamá,215.0,204.66666666666666,9 de agosto
32,Panamá,64.0,197.33333333333334,16 de agosto
1,Paraguay,16.0,16.0,12 de enero
2,Paraguay,19.0,17.5,19 de enero
3,Paraguay,14.0,16.333333333333332,26 de enero
4,Paraguay,24.0,19.0,2 de febrero
5,Paraguay,191.0,76.33333333333333,9 de febrero
6,Paraguay,79.0,98.0,16 de febrero
7,Paraguay,24.0,98.0,23 de febrero
8,Paraguay,17.0,40.0,1 de marzo
9,Paraguay,27.0,22.666666666666668,8 de marzo
10,Paraguay,259.0,101.0,15 de marzo
11,Paraguay,413.0,233.0,22 de marzo
12,Paraguay,16.0,229.33333333333334,29 de marzo
13,Paraguay,64.0,164.33333333333334,5 de abril
14,Paraguay,102.0,60.666666666666664,12 de abril
15,Paraguay,59.0,75.0,19 de abril
16,Paraguay,31.0,64.0,26 de abril
18,Paraguay,476.0,188.66666666666666,10 de mayo
19,Paraguay,1.0,169.33333333333334,17 de mayo
20,Paraguay,20.0,165.66666666666666,24 de mayo
22,Paraguay,114.0,45.0,7 de junio
23,Paraguay,8.0,47.333333333333336,14 de junio
24,Paraguay,94.0,72.0,21 de junio
25,Paraguay,64.0,55.333333333333336,28 de junio
26,Paraguay,73.0,77.0,5 de julio
27,Paraguay,74.0,70.33333333333333,12 de julio
28,Paraguay,111.0,86.0,19 de julio
29,Paraguay,43.0,76.0,26 de julio
30,Paraguay,104.0,86.0,2 de agosto
31,Paraguay,68.0,71.66666666666667,9 de agosto
32,Paraguay,94.0,88.66666666666667,16 de agosto
0,Perú,723.0,723.0,5 de enero
1,Perú,1785.0,1254.0,12 de enero
2,Perú,1490.0,1332.6666666666667,19 de enero
3,Perú,1058.0,1444.3333333333333,26 de enero
4,Perú,4684.0,2410.6666666666665,2 de febrero
5,Perú,62019.0,22587.0,9 de febrero
6,Perú,113696.0,60133.0,16 de febrero
9,Perú,1164.0,58959.666666666664,8 de marzo
10,Perú,49558.0,54806.0,15 de marzo
13,Perú,20409.0,23710.333333333332,5 de abril
14,Perú,3204.0,24390.333333333332,12 de abril
15,Perú,9816.0,11143.0,19 de abril
16,Perú,2594.0,5204.666666666667,26 de abril
17,Perú,7030.0,6480.0,3 de mayo
18,Perú,8661.0,6095.0,10 de mayo
19,Perú,15412.0,10367.666666666666,17 de mayo
20,Perú,17326.0,13799.666666666666,24 de mayo
21,Perú,21879.0,18205.666666666668,31 de mayo
22,Perú,36913.0,25372.666666666668,7 de junio
23,Perú,25131.0,27974.333333333332,14 de junio
24,Perú,25806.0,29283.333333333332,21 de junio
25,Perú,25285.0,25407.333333333332,28 de junio
26,Perú,25323.0,25471.333333333332,5 de julio
27,Perú,26012.0,25540.0,12 de julio
28,Perú,27215.0,26183.333333333332,19 de julio
29,Perú,19789.0,24338.666666666668,26 de julio
30,Perú,25492.0,24165.333333333332,2 de agosto
31,Perú,27066.0,24115.666666666668,9 de agosto
32,Perú,32331.0,28296.333333333332,16 de agosto
0,Rep. Dominicana,32.0,32.0,5 de enero
1,Rep. Dominicana,28.0,30.0,12 de enero
2,Rep. Dominicana,322.0,127.33333333333333,19 de enero
3,Rep. Dominicana,339.0,229.66666666666666,26 de enero
4,Rep. Dominicana,639.0,433.3333333333333,2 de febrero
5,Rep. Dominicana,542.0,506.6666666666667,9 de febrero
6,Rep. Dominicana,267.0,482.6666666666667,16 de febrero
7,Rep. Dominicana,124.0,311.0,23 de febrero
8,Rep. Dominicana,182.0,191.0,1 de marzo
9,Rep. Dominicana,72.0,126.0,8 de marzo
10,Rep. Dominicana,61.0,105.0,15 de marzo
11,Rep. Dominicana,95.0,76.0,22 de marzo
12,Rep. Dominicana,3.0,53.0,29 de marzo
13,Rep. Dominicana,59.0,52.333333333333336,5 de abril
14,Rep. Dominicana,393.0,151.66666666666666,12 de abril
15,Rep. Dominicana,115.0,189.0,19 de abril
16,Rep. Dominicana,20.0,176.0,26 de abril
17,Rep. Dominicana,23.0,52.666666666666664,3 de mayo
18,Rep. Dominicana,542.0,195.0,10 de mayo
19,Rep. Dominicana,77.0,214.0,17 de mayo
20,Rep. Dominicana,13.0,210.66666666666666,24 de mayo
21,Rep. Dominicana,128.0,72.66666666666667,31 de mayo
22,Rep. Dominicana,12.0,51.0,7 de junio
23,Rep. Dominicana,502.0,214.0,14 de junio
24,Rep. Dominicana,55.0,189.66666666666666,21 de junio
25,Rep. Dominicana,221.0,259.3333333333333,28 de junio
26,Rep. Dominicana,463.0,246.33333333333334,5 de julio
27,Rep. Dominicana,306.0,330.0,12 de julio
28,Rep. Dominicana,435.0,401.3333333333333,19 de julio
29,Rep. Dominicana,406.0,382.3333333333333,26 de julio
30,Rep. Dominicana,622.0,487.6666666666667,2 de agosto
31,Rep. Dominicana,405.0,477.6666666666667,9 de agosto
32,Rep. Dominicana,559.0,528.6666666666666,16 de agosto
0,Uruguay,75.0,75.0,5 de enero
1,Uruguay,67.0,71.0,12 de enero
2,Uruguay,160.0,100.66666666666667,19 de enero
3,Uruguay,156.0,127.66666666666667,26 de enero
4,Uruguay,199.0,171.66666666666666,2 de febrero
5,Uruguay,823.0,392.6666666666667,9 de febrero
6,Uruguay,809.0,610.3333333333334,16 de febrero
7,Uruguay,150.0,594.0,23 de febrero
8,Uruguay,139.0,366.0,1 de marzo
9,Uruguay,472.0,253.66666666666666,8 de marzo
10,Uruguay,553.0,388.0,15 de marzo
11,Uruguay,202.0,409.0,22 de marzo
12,Uruguay,100.0,285.0,29 de marzo
13,Uruguay,172.0,158.0,5 de abril
14,Uruguay,157.0,143.0,12 de abril
15,Uruguay,116.0,148.33333333333334,19 de abril
16,Uruguay,150.0,141.0,26 de abril
17,Uruguay,270.0,178.66666666666666,3 de mayo
18,Uruguay,278.0,232.66666666666666,10 de mayo
19,Uruguay,455.0,334.3333333333333,17 de mayo
20,Uruguay,98.0,277.0,24 de mayo
21,Uruguay,245.0,266.0,31 de mayo
22,Uruguay,372.0,238.33333333333334,7 de junio
23,Uruguay,141.0,252.66666666666666,14 de junio
24,Uruguay,202.0,238.33333333333334,21 de junio
25,Uruguay,263.0,202.0,28 de junio
26,Uruguay,169.0,211.33333333333334,5 de julio
27,Uruguay,207.0,213.0,12 de julio
28,Uruguay,327.0,234.33333333333334,19 de julio
29,Uruguay,167.0,233.66666666666666,26 de julio
30,Uruguay,212.0,235.33333333333334,2 de agosto
31,Uruguay,231.0,203.33333333333334,9 de agosto
32,Uruguay,252.0,231.66666666666666,16 de agosto
0,Venezuela,2368.0,2368.0,5 de enero
1,Venezuela,9927.0,6147.5,12 de enero
2,Venezuela,7360.0,6551.666666666667,19 de enero
3,Venezuela,8019.0,8435.333333333334,26 de enero
4,Venezuela,8629.0,8002.666666666667,2 de febrero
5,Venezuela,16948.0,11198.666666666666,9 de febrero
6,Venezuela,19269.0,14948.666666666666,16 de febrero
7,Venezuela,8553.0,14923.333333333334,23 de febrero
8,Venezuela,11023.0,12948.333333333334,1 de marzo
9,Venezuela,13309.0,10961.666666666666,8 de marzo
10,Venezuela,13512.0,12614.666666666666,15 de marzo
11,Venezuela,2291.0,9704.0,22 de marzo
12,Venezuela,3127.0,6310.0,29 de marzo
13,Venezuela,1252.0,2223.3333333333335,5 de abril
14,Venezuela,1277.0,1885.3333333333333,12 de abril
15,Venezuela,1400.0,1309.6666666666667,19 de abril
16,Venezuela,1465.0,1380.6666666666667,26 de abril
17,Venezuela,1400.0,1421.6666666666667,3 de mayo
18,Venezuela,2139.0,1668.0,10 de mayo
19,Venezuela,1905.0,1814.6666666666667,17 de mayo
20,Venezuela,2223.0,2089.0,24 de mayo
21,Venezuela,2872.0,2333.3333333333335,31 de mayo
22,Venezuela,3859.0,2984.6666666666665,7 de junio
23,Venezuela,3823.0,3518.0,14 de junio
24,Venezuela,4220.0,3967.3333333333335,21 de junio
25,Venezuela,3301.0,3781.3333333333335,28 de junio
26,Venezuela,4033.0,3851.3333333333335,5 de julio
27,Venezuela,4460.0,3931.3333333333335,12 de julio
28,Venezuela,5170.0,4554.333333333333,19 de julio
29,Venezuela,4592.0,4740.666666666667,26 de julio
30,Venezuela,4308.0,4690.0,2 de agosto
31,Venezuela,5380.0,4760.0,9 de agosto
